review_id,business_id,user_id,stars,text,date
R1073,B271,U437,2,Waste of money. Terrible experience.,2022-11-28
R1074,B169,U489,2,Never again. Waste of money.,2022-11-23
R1075,B150,U19,2,Waste of money. Never again.,2024-02-08
R1076,B119,U383,2,Cold food. Rude staff.,2020-07-04
R1077,B208,U228,3,It was okay.,2021-12-10
R1078,B191,U24,3,It was okay.,2022-01-10
R1079,B156,U221,4,Loved it. Loved it.,2021-04-17
R1080,B159,U350,1,Waste of money. Never again.,2021-03-06
R1081,B127,U446,2,Terrible experience. Never again.,2023-10-22
R1082,B167,U468,5,Amazing service. Will come again.,2024-03-08
R1083,B247,U236,4,Will come again. Loved it.,2022-11-01
R1084,B134,U347,5,Will come again. Loved it.,2024-03-03
R1085,B204,U301,4,Will come again. Loved it.,2022-11-14
R1086,B241,U234,3,Not bad but not great.,2022-04-13
R1087,B215,U122,2,Waste of money. Terrible experience.,2023-10-12
R1088,B261,U152,3,Slightly delayed.,2025-05-01
R1089,B104,U5,2,Waste of money. Cold food.,2024-11-25
R1090,B117,U382,5,Great food! Delicious.,2023-05-25
R1091,B110,U311,3,Average food.,2022-04-21
R1092,B283,U129,5,Amazing service. Delicious.,2025-12-25
R1093,B126,U322,3,Average food.,2020-11-21
R1094,B217,U404,2,Terrible experience. Cold food.,2023-01-19
R1095,B144,U47,5,Loved it. Amazing service.,2022-06-24
R1096,B264,U90,3,Decent price.,2021-03-26
R1097,B267,U449,3,Slightly delayed.,2022-09-17
R1098,B285,U132,2,Cold food. Rude staff.,2023-05-24
R1099,B169,U240,2,Cold food. Terrible experience.,2020-03-25
R1100,B195,U441,3,Average food.,2025-12-22
R1101,B278,U188,5,Will come again. Delicious.,2020-07-01
R1102,B222,U275,3,Not bad but not great.,2020-08-12
R1103,B168,U196,2,Cold food. Never again.,2025-06-04
R1104,B125,U13,1,Rude staff. Waste of money.,2024-09-11
R1105,B175,U332,4,Delicious. Amazing service.,2020-11-27
R1106,B298,U333,4,Will come again. Loved it.,2023-02-05
R1107,B284,U156,5,Great food! Great food!,2023-02-04
R1108,B128,U455,3,Average food.,2024-03-13
R1109,B107,U190,3,Decent price.,2025-12-23
R1110,B160,U301,5,Delicious. Will come again.,2025-12-05
R1111,B105,U427,4,Will come again. Great food!,2023-10-14
R1112,B168,U17,3,Not bad but not great.,2025-06-07
R1113,B210,U487,2,Waste of money. Waste of money.,2021-06-04
R1114,B108,U462,1,Cold food. Never again.,2025-06-02
R1115,B171,U142,3,Decent price.,2021-02-28
R1116,B144,U340,5,Will come again. Great food!,2021-11-21
R1117,B243,U26,5,Delicious. Great food!,2022-04-05
R1118,B296,U36,2,Never again. Rude staff.,2024-04-19
R1119,B143,U169,2,Rude staff. Rude staff.,2021-10-01
R1120,B246,U67,1,Cold food. Rude staff.,2024-05-26
R1121,B240,U339,2,Rude staff. Terrible experience.,2020-03-01
R1122,B198,U302,5,Loved it. Amazing service.,2022-01-06
R1123,B168,U65,2,Cold food. Terrible experience.,2025-07-17
R1124,B226,U244,1,Terrible experience. Terrible experience.,2023-06-17
R1125,B188,U232,4,Delicious. Great food!,2024-04-20
R1126,B104,U155,2,Terrible experience. Never again.,2023-11-01
R1127,B214,U246,3,It was okay.,2023-07-22
R1128,B256,U365,2,Terrible experience. Waste of money.,2023-02-03
R1129,B144,U76,5,Loved it. Delicious.,2020-03-09
R1130,B192,U281,4,Delicious. Delicious.,2025-06-13
R1131,B127,U151,2,Never again. Never again.,2023-09-20
R1132,B252,U407,2,Waste of money. Terrible experience.,2025-02-28
R1133,B259,U370,3,Slightly delayed.,2021-07-15
R1134,B252,U174,1,Rude staff. Waste of money.,2023-07-14
R1135,B285,U219,1,Terrible experience. Cold food.,2022-11-09
R1136,B299,U352,2,Cold food. Rude staff.,2023-02-03
R1137,B237,U48,3,It was okay.,2023-02-24
R1138,B105,U416,3,Not bad but not great.,2021-09-02
R1139,B119,U288,1,Never again. Never again.,2022-11-04
R1140,B110,U448,1,Waste of money. Cold food.,2025-07-28
R1141,B296,U308,1,Terrible experience. Cold food.,2022-06-04
R1142,B284,U109,5,Delicious. Delicious.,2021-11-16
R1143,B137,U180,5,Amazing service. Great food!,2024-06-04
R1144,B237,U116,5,Loved it. Delicious.,2023-09-25
R1145,B232,U315,3,Slightly delayed.,2025-11-18
R1146,B247,U312,3,It was okay.,2025-12-09
R1147,B254,U140,5,Great food! Amazing service.,2025-05-11
R1148,B194,U4,3,Not bad but not great.,2021-03-19
R1149,B175,U73,2,Waste of money. Terrible experience.,2025-11-01
R1150,B106,U111,2,Terrible experience. Never again.,2023-07-15
R1151,B187,U190,2,Cold food. Rude staff.,2022-12-11
R1152,B253,U44,4,Delicious. Delicious.,2020-03-06
R1153,B234,U26,3,Slightly delayed.,2025-02-09
R1154,B219,U249,4,Will come again. Will come again.,2024-08-14
R1155,B154,U387,4,Loved it. Amazing service.,2024-02-12
R1156,B218,U146,2,Waste of money. Terrible experience.,2025-11-19
R1157,B200,U270,3,Decent price.,2025-05-02
R1158,B279,U203,3,Average food.,2024-01-01
R1159,B184,U485,2,Rude staff. Cold food.,2021-03-25
R1160,B128,U168,5,Loved it. Loved it.,2020-01-16
R1161,B235,U67,1,Waste of money. Rude staff.,2023-09-23
R1162,B294,U257,3,Average food.,2024-11-26
R1163,B215,U204,1,Cold food. Terrible experience.,2025-01-14
R1164,B199,U472,2,Terrible experience. Waste of money.,2020-06-19
R1165,B198,U208,4,Will come again. Delicious.,2025-11-14
R1166,B195,U59,3,Not bad but not great.,2023-01-11
R1167,B128,U236,4,Amazing service. Delicious.,2025-06-03
R1168,B148,U125,2,Waste of money. Terrible experience.,2023-10-13
R1169,B193,U203,2,Never again. Terrible experience.,2022-12-11
R1170,B252,U399,2,Rude staff. Cold food.,2021-02-17
R1171,B109,U272,3,It was okay.,2024-04-25
R1172,B269,U373,4,Loved it. Loved it.,2025-03-08
R1173,B247,U132,2,Terrible experience. Rude staff.,2021-03-20
R1174,B151,U390,3,Average food.,2025-02-06
R1175,B200,U387,2,Waste of money. Waste of money.,2024-10-15
R1176,B166,U166,4,Delicious. Delicious.,2025-06-05
R1177,B208,U241,5,Will come again. Great food!,2023-11-10
R1178,B107,U29,1,Cold food. Never again.,2022-09-03
R1179,B263,U237,3,Not bad but not great.,2023-01-02
R1180,B145,U426,3,Not bad but not great.,2022-02-21
R1181,B115,U305,2,Terrible experience. Never again.,2024-07-15
R1182,B273,U489,2,Never again. Never again.,2025-01-15
R1183,B198,U165,5,Delicious. Amazing service.,2024-08-17
R1184,B121,U491,3,Average food.,2020-08-04
R1185,B276,U259,4,Loved it. Great food!,2025-03-02
R1186,B199,U225,1,Rude staff. Waste of money.,2024-09-20
R1187,B205,U187,3,Average food.,2022-05-13
R1188,B205,U397,3,Decent price.,2022-11-20
R1189,B124,U34,4,Great food! Loved it.,2022-02-18
R1190,B128,U130,5,Will come again. Loved it.,2025-11-20
R1191,B185,U171,3,Average food.,2020-10-22
R1192,B208,U159,4,Amazing service. Loved it.,2025-12-22
R1193,B222,U305,2,Waste of money. Rude staff.,2025-02-10
R1194,B242,U193,3,Slightly delayed.,2025-06-27
R1195,B248,U48,4,Amazing service. Delicious.,2025-11-14
R1196,B283,U10,5,Delicious. Loved it.,2022-05-06
R1197,B186,U175,3,Average food.,2023-04-08
R1198,B275,U40,2,Rude staff. Rude staff.,2022-02-17
R1199,B181,U20,5,Delicious. Delicious.,2025-06-25
R1200,B119,U68,3,Slightly delayed.,2024-07-05
R1201,B294,U426,2,Rude staff. Rude staff.,2025-10-26
R1202,B284,U23,4,Amazing service. Will come again.,2023-06-22
R1203,B199,U313,2,Rude staff. Waste of money.,2022-12-26
R1204,B121,U120,3,Decent price.,2024-04-10
R1205,B263,U189,4,Will come again. Amazing service.,2025-10-15
R1206,B245,U399,4,Will come again. Loved it.,2023-09-17
R1207,B143,U495,3,Decent price.,2021-04-26
R1208,B197,U447,2,Never again. Rude staff.,2022-01-21
R1209,B246,U284,2,Waste of money. Cold food.,2020-12-28
R1210,B231,U146,4,Delicious. Great food!,2020-03-09
R1211,B188,U76,4,Will come again. Delicious.,2023-02-08
R1212,B203,U477,2,Waste of money. Cold food.,2020-07-02
R1213,B267,U192,5,Will come again. Delicious.,2021-07-03
R1214,B278,U15,5,Loved it. Amazing service.,2022-02-27
R1215,B134,U71,5,Loved it. Amazing service.,2020-05-27
R1216,B159,U357,3,Decent price.,2021-12-16
R1217,B152,U3,2,Waste of money. Never again.,2020-01-09
R1218,B264,U281,4,Amazing service. Amazing service.,2025-10-17
R1219,B244,U398,2,Waste of money. Terrible experience.,2022-04-10
R1220,B143,U25,3,It was okay.,2021-07-21
R1221,B191,U33,4,Delicious. Will come again.,2020-08-20
R1222,B116,U324,5,Delicious. Great food!,2024-10-08
R1223,B243,U220,5,Amazing service. Loved it.,2020-10-12
R1224,B293,U214,5,Amazing service. Delicious.,2021-11-22
R1225,B118,U500,2,Terrible experience. Never again.,2022-02-17
R1226,B211,U403,1,Never again. Never again.,2024-09-01
R1227,B281,U23,4,Will come again. Will come again.,2025-07-12
R1228,B287,U183,1,Cold food. Terrible experience.,2020-06-08
R1229,B115,U396,3,It was okay.,2024-12-25
R1230,B274,U23,5,Loved it. Amazing service.,2022-09-11
R1231,B206,U357,4,Amazing service. Will come again.,2023-11-06
R1232,B112,U367,4,Amazing service. Great food!,2023-01-10
R1233,B263,U406,2,Rude staff. Terrible experience.,2021-01-11
R1234,B210,U204,2,Cold food. Never again.,2024-08-09
R1235,B215,U386,3,It was okay.,2025-04-10
R1236,B264,U444,2,Cold food. Terrible experience.,2025-06-09
R1237,B127,U224,2,Terrible experience. Cold food.,2023-12-15
R1238,B195,U174,3,Decent price.,2021-08-23
R1239,B237,U189,3,Decent price.,2024-05-26
R1240,B110,U41,1,Terrible experience. Waste of money.,2023-10-27
R1241,B296,U151,2,Rude staff. Never again.,2022-02-03
R1242,B215,U157,1,Cold food. Cold food.,2023-10-23
R1243,B135,U354,4,Will come again. Amazing service.,2023-06-15
R1244,B119,U315,2,Terrible experience. Cold food.,2023-05-21
R1245,B202,U344,5,Great food! Great food!,2025-07-12
R1246,B236,U488,5,Delicious. Amazing service.,2020-03-28
R1247,B131,U348,3,Slightly delayed.,2023-01-05
R1248,B290,U399,2,Terrible experience. Rude staff.,2025-06-12
R1249,B131,U17,4,Will come again. Delicious.,2024-03-22
R1250,B159,U191,2,Waste of money. Cold food.,2023-02-19
R1251,B263,U188,5,Amazing service. Delicious.,2023-06-21
R1252,B250,U492,2,Cold food. Rude staff.,2020-01-24
R1253,B230,U256,3,Average food.,2024-07-18
R1254,B256,U397,1,Terrible experience. Cold food.,2022-12-15
R1255,B255,U147,4,Amazing service. Delicious.,2025-08-07
R1256,B272,U437,4,Great food! Amazing service.,2020-08-06
R1257,B151,U415,2,Waste of money. Terrible experience.,2025-06-22
R1258,B172,U364,3,Not bad but not great.,2020-09-18
R1259,B210,U436,2,Cold food. Cold food.,2021-12-23
R1260,B290,U407,3,Average food.,2022-09-08
R1261,B277,U406,4,Great food! Amazing service.,2021-04-26
R1262,B292,U14,3,Decent price.,2022-09-19
R1263,B219,U240,3,Not bad but not great.,2024-03-20
R1264,B209,U159,1,Terrible experience. Terrible experience.,2023-12-24
R1265,B247,U270,3,Decent price.,2023-07-27
R1266,B248,U65,5,Delicious. Great food!,2022-11-03
R1267,B219,U349,4,Will come again. Will come again.,2024-06-05
R1268,B170,U94,4,Delicious. Delicious.,2021-07-17
R1269,B137,U266,4,Great food! Great food!,2021-05-06
R1270,B166,U479,4,Amazing service. Loved it.,2025-04-12
R1271,B258,U434,2,Never again. Cold food.,2020-05-07
R1272,B213,U141,3,Slightly delayed.,2021-11-10
R1273,B215,U48,2,Never again. Never again.,2024-11-06
R1274,B160,U79,5,Delicious. Delicious.,2021-11-20
R1275,B241,U432,4,Delicious. Loved it.,2024-01-27
R1276,B137,U42,3,It was okay.,2020-11-25
R1277,B277,U136,3,Slightly delayed.,2025-04-25
R1278,B197,U317,4,Delicious. Will come again.,2025-01-16
R1279,B158,U329,5,Delicious. Loved it.,2022-08-08
R1280,B116,U233,5,Will come again. Loved it.,2020-12-02
R1281,B261,U213,5,Amazing service. Will come again.,2023-08-07
R1282,B143,U74,1,Cold food. Never again.,2022-12-11
R1283,B111,U67,4,Loved it. Will come again.,2022-09-18
R1284,B285,U124,2,Terrible experience. Cold food.,2023-02-09
R1285,B243,U73,5,Will come again. Amazing service.,2020-01-10
R1286,B160,U215,4,Will come again. Delicious.,2021-03-27
R1287,B265,U370,1,Cold food. Never again.,2022-04-25
R1288,B268,U264,5,Amazing service. Will come again.,2023-08-10
R1289,B260,U12,3,Decent price.,2020-07-17
R1290,B133,U495,3,Decent price.,2021-04-19
R1291,B220,U26,4,Loved it. Great food!,2022-08-20
R1292,B288,U275,4,Will come again. Loved it.,2020-02-14
R1293,B215,U373,1,Rude staff. Cold food.,2022-07-12
R1294,B260,U27,2,Terrible experience. Waste of money.,2024-09-07
R1295,B136,U148,2,Cold food. Never again.,2020-07-17
R1296,B278,U144,4,Will come again. Delicious.,2024-11-20
R1297,B113,U66,3,It was okay.,2020-07-12
R1298,B209,U286,3,Not bad but not great.,2022-03-07
R1299,B174,U206,2,Never again. Never again.,2024-01-02
R1300,B140,U366,2,Terrible experience. Rude staff.,2022-08-17
R1301,B125,U311,2,Waste of money. Rude staff.,2024-03-11
R1302,B294,U84,4,Delicious. Loved it.,2023-10-24
R1303,B285,U173,1,Cold food. Never again.,2024-09-18
R1304,B275,U363,3,Decent price.,2024-05-16
R1305,B151,U170,1,Terrible experience. Cold food.,2025-02-14
R1306,B251,U408,2,Never again. Cold food.,2025-12-21
R1307,B299,U243,1,Terrible experience. Never again.,2022-11-26
R1308,B235,U117,4,Delicious. Delicious.,2025-01-19
R1309,B296,U88,3,Decent price.,2024-11-24
R1310,B188,U76,4,Delicious. Will come again.,2025-04-02
R1311,B220,U486,3,Slightly delayed.,2025-02-07
R1312,B220,U226,3,It was okay.,2022-07-05
R1313,B279,U211,2,Waste of money. Rude staff.,2024-10-16
R1314,B146,U266,5,Great food! Amazing service.,2021-09-11
R1315,B248,U193,4,Will come again. Delicious.,2022-03-15
R1316,B116,U280,5,Delicious. Loved it.,2022-11-25
R1317,B123,U248,2,Cold food. Never again.,2021-04-09
R1318,B138,U116,4,Delicious. Loved it.,2022-05-23
R1319,B162,U354,3,Average food.,2025-08-11
R1320,B129,U287,2,Waste of money. Cold food.,2025-05-10
R1321,B201,U347,5,Great food! Delicious.,2024-07-13
R1322,B272,U149,5,Loved it. Amazing service.,2020-05-23
R1323,B273,U474,4,Great food! Loved it.,2023-11-09
R1324,B135,U104,4,Will come again. Amazing service.,2024-05-18
R1325,B281,U71,3,Not bad but not great.,2020-10-24
R1326,B176,U125,4,Delicious. Amazing service.,2020-11-17
R1327,B157,U27,2,Rude staff. Rude staff.,2020-07-11
R1328,B290,U52,3,Decent price.,2025-03-01
R1329,B190,U209,5,Delicious. Amazing service.,2025-08-16
R1330,B272,U165,5,Amazing service. Loved it.,2022-11-02
R1331,B178,U119,1,Terrible experience. Never again.,2024-12-24
R1332,B136,U214,2,Terrible experience. Rude staff.,2021-01-27
R1333,B152,U96,1,Waste of money. Waste of money.,2025-05-02
R1334,B146,U291,5,Great food! Loved it.,2024-02-11
R1335,B245,U329,4,Loved it. Will come again.,2024-09-16
R1336,B176,U240,4,Amazing service. Delicious.,2022-04-26
R1337,B118,U84,2,Terrible experience. Cold food.,2025-08-21
R1338,B242,U368,3,Not bad but not great.,2021-01-24
R1339,B104,U291,2,Cold food. Cold food.,2025-04-06
R1340,B288,U439,3,Slightly delayed.,2025-07-27
R1341,B125,U168,2,Waste of money. Never again.,2020-07-22
R1342,B191,U95,3,It was okay.,2021-08-11
R1343,B226,U4,3,Average food.,2022-07-08
R1344,B174,U489,2,Waste of money. Cold food.,2022-05-19
R1345,B107,U134,4,Delicious. Great food!,2025-06-23
R1346,B207,U32,3,Average food.,2025-02-15
R1347,B132,U208,2,Cold food. Rude staff.,2025-09-23
R1348,B178,U354,3,Not bad but not great.,2020-11-10
R1349,B196,U114,1,Cold food. Never again.,2021-03-16
R1350,B149,U383,2,Rude staff. Waste of money.,2024-06-14
R1351,B284,U388,5,Delicious. Will come again.,2024-11-27
R1352,B269,U349,4,Amazing service. Amazing service.,2024-02-17
R1353,B277,U361,4,Will come again. Delicious.,2022-02-19
R1354,B236,U425,2,Terrible experience. Terrible experience.,2024-09-07
R1355,B257,U77,5,Delicious. Delicious.,2021-06-28
R1356,B160,U60,5,Delicious. Will come again.,2025-04-23
R1357,B153,U47,4,Delicious. Will come again.,2024-08-26
R1358,B178,U233,3,It was okay.,2021-09-14
R1359,B164,U30,2,Waste of money. Never again.,2024-08-22
R1360,B107,U203,4,Loved it. Great food!,2022-01-24
R1361,B278,U38,5,Amazing service. Delicious.,2020-07-12
R1362,B179,U31,1,Terrible experience. Never again.,2020-08-02
R1363,B154,U93,2,Cold food. Waste of money.,2021-11-24
R1364,B219,U192,3,Decent price.,2023-08-28
R1365,B162,U193,3,Decent price.,2020-11-22
R1366,B242,U69,3,Slightly delayed.,2025-06-04
R1367,B228,U276,3,Average food.,2023-09-05
R1368,B126,U388,4,Amazing service. Great food!,2020-05-15
R1369,B130,U273,4,Delicious. Will come again.,2023-04-08
R1370,B175,U178,3,Decent price.,2021-05-07
R1371,B165,U415,4,Great food! Great food!,2025-07-20
R1372,B229,U106,4,Great food! Amazing service.,2020-02-20
R1373,B177,U307,4,Great food! Will come again.,2025-12-28
R1374,B149,U380,1,Terrible experience. Rude staff.,2020-07-15
R1375,B158,U277,3,Average food.,2021-01-05
R1376,B211,U120,2,Never again. Cold food.,2025-10-11
R1377,B182,U396,5,Delicious. Delicious.,2025-06-08
R1378,B134,U339,5,Loved it. Amazing service.,2024-04-14
R1379,B277,U32,4,Loved it. Loved it.,2024-10-24
R1380,B229,U285,5,Amazing service. Will come again.,2023-01-12
R1381,B245,U164,4,Will come again. Delicious.,2025-07-14
R1382,B169,U193,2,Rude staff. Cold food.,2021-09-16
R1383,B221,U154,2,Rude staff. Rude staff.,2025-03-26
R1384,B159,U288,2,Waste of money. Terrible experience.,2023-07-18
R1385,B218,U199,2,Never again. Rude staff.,2021-05-07
R1386,B237,U473,5,Loved it. Great food!,2023-06-03
R1387,B174,U371,3,Slightly delayed.,2021-01-09
R1388,B117,U309,4,Will come again. Delicious.,2020-02-07
R1389,B288,U112,2,Never again. Never again.,2023-04-28
R1390,B257,U490,5,Loved it. Loved it.,2020-04-07
R1391,B247,U469,2,Terrible experience. Waste of money.,2021-12-20
R1392,B119,U204,3,Average food.,2021-09-11
R1393,B182,U239,5,Loved it. Will come again.,2024-11-12
R1394,B297,U134,3,Not bad but not great.,2022-09-16
R1395,B280,U412,1,Waste of money. Terrible experience.,2025-08-25
R1396,B160,U469,3,Not bad but not great.,2021-06-11
R1397,B114,U289,2,Waste of money. Terrible experience.,2021-12-05
R1398,B194,U284,4,Great food! Loved it.,2024-10-24
R1399,B115,U152,3,Decent price.,2021-04-11
R1400,B236,U195,3,Average food.,2024-04-16
R1401,B141,U336,3,Slightly delayed.,2025-06-09
R1402,B297,U495,3,Decent price.,2025-11-24
R1403,B134,U87,5,Will come again. Will come again.,2025-06-06
R1404,B169,U251,2,Rude staff. Never again.,2021-09-21
R1405,B131,U18,5,Great food! Delicious.,2020-11-02
R1406,B245,U71,4,Great food! Will come again.,2025-04-03
R1407,B200,U5,3,Average food.,2021-09-15
R1408,B245,U317,4,Loved it. Great food!,2025-11-20
R1409,B159,U9,2,Waste of money. Waste of money.,2020-09-18
R1410,B217,U9,2,Waste of money. Terrible experience.,2024-12-09
R1411,B196,U147,3,Slightly delayed.,2020-09-27
R1412,B255,U55,5,Will come again. Amazing service.,2020-09-05
R1413,B170,U99,3,Average food.,2024-09-09
R1414,B219,U408,4,Loved it. Loved it.,2023-02-12
R1415,B230,U290,2,Waste of money. Waste of money.,2021-12-08
R1416,B102,U335,4,Loved it. Great food!,2025-01-03
R1417,B269,U194,5,Will come again. Will come again.,2024-08-02
R1418,B162,U43,4,Great food! Amazing service.,2023-07-21
R1419,B296,U440,2,Cold food. Never again.,2020-09-02
R1420,B138,U462,4,Amazing service. Amazing service.,2025-10-16
R1421,B128,U474,4,Loved it. Great food!,2020-11-09
R1422,B206,U289,3,Slightly delayed.,2025-01-06
R1423,B262,U493,4,Loved it. Great food!,2021-10-05
R1424,B279,U476,3,Decent price.,2020-05-06
R1425,B232,U291,5,Delicious. Amazing service.,2023-11-18
R1426,B152,U387,1,Cold food. Waste of money.,2025-03-26
R1427,B234,U382,4,Great food! Delicious.,2022-01-04
R1428,B183,U119,3,Decent price.,2020-06-20
R1429,B284,U204,5,Delicious. Delicious.,2022-01-21
R1430,B297,U402,3,Not bad but not great.,2023-08-08
R1431,B176,U284,3,Not bad but not great.,2023-07-06
R1432,B198,U44,5,Delicious. Will come again.,2024-05-26
R1433,B296,U43,2,Rude staff. Terrible experience.,2022-03-13
R1434,B124,U163,4,Amazing service. Will come again.,2022-02-03
R1435,B177,U483,3,It was okay.,2022-08-12
R1436,B180,U68,4,Loved it. Great food!,2020-03-14
R1437,B133,U285,4,Will come again. Delicious.,2024-07-04
R1438,B235,U46,3,It was okay.,2022-09-03
R1439,B191,U402,2,Never again. Never again.,2022-07-01
R1440,B176,U199,4,Loved it. Will come again.,2020-12-18
R1441,B294,U267,4,Amazing service. Delicious.,2021-11-13
R1442,B129,U138,2,Rude staff. Rude staff.,2022-05-16
R1443,B257,U86,5,Amazing service. Great food!,2023-05-14
R1444,B114,U248,3,Not bad but not great.,2020-06-09
R1445,B287,U305,2,Rude staff. Waste of money.,2024-04-15
R1446,B133,U70,3,It was okay.,2022-01-13
R1447,B213,U195,4,Loved it. Delicious.,2022-08-11
R1448,B262,U70,5,Will come again. Delicious.,2022-06-20
R1449,B227,U161,5,Amazing service. Will come again.,2021-07-11
R1450,B177,U377,3,Not bad but not great.,2025-11-16
R1451,B291,U167,4,Delicious. Amazing service.,2023-05-27
R1452,B151,U59,2,Waste of money. Cold food.,2024-04-19
R1453,B109,U350,2,Never again. Rude staff.,2024-01-24
R1454,B194,U483,3,Decent price.,2025-04-15
R1455,B171,U420,2,Cold food. Terrible experience.,2023-11-16
R1456,B217,U124,2,Rude staff. Cold food.,2022-11-05
R1457,B206,U38,5,Will come again. Will come again.,2023-10-16
R1458,B145,U274,5,Delicious. Will come again.,2024-12-14
R1459,B227,U405,5,Delicious. Great food!,2022-12-26
R1460,B203,U327,2,Never again. Never again.,2020-02-25
R1461,B258,U86,1,Rude staff. Cold food.,2025-10-02
R1462,B251,U331,3,Slightly delayed.,2025-11-13
R1463,B296,U55,2,Cold food. Waste of money.,2020-02-09
R1464,B163,U262,3,Average food.,2025-09-18
R1465,B141,U114,2,Never again. Never again.,2023-06-13
R1466,B129,U354,5,Will come again. Delicious.,2024-03-12
R1467,B233,U54,5,Great food! Will come again.,2022-07-03
R1468,B173,U179,4,Great food! Amazing service.,2022-06-15
R1469,B265,U248,2,Rude staff. Never again.,2022-08-04
R1470,B284,U164,5,Will come again. Will come again.,2020-05-02
R1471,B203,U12,3,It was okay.,2022-11-04
R1472,B139,U477,3,Average food.,2025-04-17
R1473,B146,U82,5,Amazing service. Delicious.,2022-09-14
R1474,B227,U409,4,Will come again. Amazing service.,2023-11-06
